slug,name,hq_regions,fleet_scale_claim,fleet_scale_short,notable_shows,notable_shows_source,website,waiver_status,waiver_short
botlab_dynamics,BotLab Dynamics,"New Delhi, India; operates across India, APAC, Middle East, Africa","Reported figures vary across their own materials: ""500+ shows across 200+ cities"" (company blog) and ""700+ performances"" (homepage); flew 5,500 drones at the Amaravati Drone Summit 2024 (5 Guinness World Records) and 3,500 in 2023, per third-party aggregation (Tracxn/The Machine Maker)","500-700+ shows, up to 5,500 drones","5,500-drone Amaravati Drone Summit 2024 (5 Guinness World Records); 1,000-drone Rashtrapati Bhavan show",https://dronelife.com/2025/01/31/india-sets-five-world-records-with-5500-drone-light-show-at-amaravati-drone-summit-2024/,https://botlabdynamics.com/,Not applicable -- no evidence of any US operation or FAA filing found; activity is India/Asia/Middle East-focused,N/A (non-US)
celestial,Celestial,"UK, with a US office; flies from a private airfield in Somerset, England","""The largest fleet of drones in the UK -- over 1,000,"" grown from a starting fleet of 20, per Celestial's own site; shows run 500-1,500 drones per performance","1,000+ drones, 500-1,500/show","Clients include Nike, Disney, Samsung, Eurovision, Glastonbury; Super Bowl LA activation and an Avatar 3 premiere per The Drone Girl's roundup",https://www.thedronegirl.com/2025/07/30/biggest-drone-show-companies/,https://celestial.show/,Not publicly stated -- UK company; no CAA-equivalent or FAA waiver documentation found for any US operations,Not stated
dronisos,Dronisos,"Bordeaux, France (HQ) + Orlando, FL (US office); operates in 30+ countries","""Up to 5,000 drones simultaneously outdoors"" per Dronisos's own FAQ; runs its own ""Dronisos Academy"" pilot training pipeline in Bordeaux and near Orlando","Up to 5,000 drones","Disneyland Paris ""Cascade of Lights""; Tour de France 2024 Nice finish; 1,495-drone Bastille Day show; publicly confirmed as direct organizer of Orlando's 2023 Christmas Drone Show",https://www.dronisos.com/faq,https://www.dronisos.com/,"FAA Certificate of Waiver 107W-2022-00614 (responsible person Laurent Perchais) confirmed for night/twilight ops and multi-aircraft single-pilot operation -- effective through May 2024; no renewed/successor certificate found, so current live-waiver status is unconfirmed",Expired 2024
firefly_drone_shows,Firefly Drone Shows,"Detroit, MI; services all of the U.S. plus international","""200 to 1,000+ drones"" per show; ""Full in-house manufacturing and maintenance"" -- builds and maintains its own drones, batteries, components, and firmware. Also operates a separate hardware-sales sister brand, Firefly Drone Systems, which sells/leases the same platform to other operators -- distinct from Firefly Drone Shows' own direct-production business","200-1,000+ drones","States it ""produces over 300 shows each year""; 250-drone World Scout Jamboree show (80,000 attendees); 400-drone Ford Rouge Plant 100th-anniversary show; $18,000/200-drone Sterling Heights, MI Sterlingfest 2026 show",https://www.fireflydroneshows.com/why-firefly,https://www.fireflydroneshows.com/,"FAA Certificate of Waiver 107W-2025-02052 confirmed (night ops, up to 2,500 drones by one operator); a second event-specific certificate 107W-2024-04184 also found",Confirmed
geoscan,Geoscan,"St. Petersburg, Russia; shows also flown in Taiwan, Thailand, India, Moldova, Cyprus, Tunisia","Manufacturer that also directly produces its own shows; ran a 2,198-drone show (2020) and a 2,500-drone show (2025), both self-published but consistent with third-party GPS World coverage of Geoscan's positioning tech in these shows","2,000-2,500 drones/show","2,198-drone Victory Day 75th anniversary show (2020); 2,500-drone 80th anniversary show (2025)",https://www.geoscan.ru/en/blog/geoscan-has-set-a-world-record,https://www.geoscan.ru/en/,"Not applicable -- Russian regulatory context, not FAA; no US operations found",N/A (non-US)
great_lakes_drone_company,Great Lakes Drone Company (dba Starlight Drone Shows / Starlight Aerial Productions),"Coloma, Michigan; travels globally","""Hundreds of drones,"" shows staged in sets of 25-500+; FAA-authorized to fly ""hundreds of drones with one operator."" No public claim of in-house drone manufacture was found (contrast with Firefly/Dronisos/BotLab) -- they have used at least one third-party drone model (the Lumenier ARORA)",Up to 500+ drones,"EAA AirVenture 2026 night shows; $40,000/200-drone SeaTac, WA show (2024, partial failure -- 55 drones lost, vendor offered a full refund); $10,000 Eden Prairie, MN show (2024, via the Starlight Aerial Productions brand)",https://www.wbay.com/2026/07/21/hundreds-drones-light-up-sky-during-eaa-airventure-night-air-shows/,https://www.greatlakesdronecompany.com/,Confirmed: holds FAA Waiver 2022-P107-00689 (blanket Class G approval) and a more recent Certificate of Waiver 107W-2026-00697 (responsible person Matthew Quinn) for operations over people and above 400 ft AGL,Confirmed
highgreat,HighGreat,"Shenzhen, China; performances in 300+ cities internationally","Manufacturer that also directly produces its own shows; ""over 8,000 performances in more than 300 cities"" per aggregated press coverage; states manufacturing capacity up to 1M units/year","5,000-8,000+ performances claimed","5,200/5,000+ drone Guinness-record event (Oct. 2022), independently covered by sUAS News and DroneDJ",https://www.suasnews.com/2022/10/highgreat-breaks-four-guinness-world-records-with-5200-drones/,https://www.highgreatdrone.com/,Not applicable -- Chinese manufacturer/operator; no US operations or FAA filings found,N/A (non-US)
lumasky,Lumasky,"Dubai, UAE","Company claims an 18,000-drone fleet across ""213 projects in 41 countries"" (self-reported, not independently audited)","~18,000 drones claimed","9,000-drone Disneyland Abu Dhabi show, covered by Interesting Engineering",https://interestingengineering.com/innovation/lumaskys-9000-drone-disneyland-abu-dhabi,https://lumasky.show/,Not applicable -- UAE-based; no FAA relevance found,N/A (non-US)
nova_sky_stories,Nova Sky Stories,"Boulder, CO (HQ); operates globally (Middle East, UK, USA, APAC, Europe)","Acquired the Intel Shooting Star drone program outright in 2022 (a real hardware/business acquisition, not a license); ""more than 9,000 drones,"" with a 2025 funding round earmarked to scale to 25,000 units","9,000+ drones","Vatican ""Grace for the World""; FIFA 2025 Club World Cup (Miami/NJ); Abu Dhabi Dept. of Culture partnership for up to 10,000 simultaneous drones; historical Shooting Star lineage includes the 2017 Super Bowl and 2021 Tokyo Olympics",https://novaskystories.com/,https://novaskystories.com/,"Confirmed: a standing multi-drone/night waiver, a 14 CFR 107.36 exemption for the Nova Star Drone V3/V3.1 (through Aug. 2027), and Certificate of Waiver 107W-2026-01198",Confirmed
open_sky_pro,Open Sky Pro (Open Sky Productions),"Salt Lake City, UT; markets into many US states including Florida","""100 to over 500 synchronized drones"" per show, ""up to 1,000 drones for special projects""; claims delivery ""across 35 states"" and ""well over 5 million guests"" reached","100-1,000 drones","Minden-Tahoe SkyFest; named clients include Kyocera, HOKA, Summerfest, Steamboat; $66,000/200-drone Port Orange, FL show and $95,000/300-drone Flagstaff, AZ show",https://www.openskypro.com/,https://www.openskypro.com/,"Company claims operating ""under a Part 107.35 waiver"" on its own marketing pages; not independently verified against an FAA docket number",Claimed
